slug	status	previous_status	previous_confidence	confidence	previous_posterior	posterior	previous_satisfiable_count	distinct_solutions	assignment_changed
Borjeson-Forssman-Lehmann_syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.180386286176	0.692724592119	288	128	False
Bosch-Boonstra-Schaaf_Optic_Atrophy_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.189880301238	0.729183781178	144	64	False
Bosma_Arhinia_Microphthalmia_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.189880301238	0.729183781178	144	64	False
Boucher-Neuhauser_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Brachydactyly_Type_A1	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Brachydactyly_Type_A2	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Brachydactyly_Type_B1	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Brachydactyly_Type_B2	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Brachydactyly_Type_C	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.168428446471	0.620176492642	576	256	False
Brachydactyly_Type_D	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196992335054	0.725352622974	144	64	False
Brachydactyly_Type_E1	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.207360352688	0.763529076814	72	32	False
Brachyolmia-Amelogenesis_Imperfecta_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.186624317419	0.687176169133	144	64	False
Brachyphalangy_Polydactyly_Tibial_Aplasia_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.241854909098	0.890542734293	9	4	False
Brain_Abnormalities_Neurodegeneration_and_Dysosteosclerosis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.229762163644	0.846015597578	18	8	False
Brain_Small_Vessel_Disease_1_With_Or_Without_Ocular_Anomalies	RETRACTED	RETRACTED	0.5	0.5	0.092505787783	0.355243380574	432	192	False
Brody_Myopathy	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
Bronchiectasis_And_Nasal_Polyposis	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.95	0.233770761759	0.897733187046	18	8	False
Bryant-Li-Bhoj_Neurodevelopmental_Syndrome_1	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.95	0.222082223671	0.852846527694	36	16	False
Bryant-Li-Bhoj_Neurodevelopmental_Syndrome_2	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.218274055461	0.803714817699	36	16	False
Burn-McKeown_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.177293101549	0.652817360676	288	128	False
CACNA1A_Related_Disorder	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.241854909098	0.890542734293	9	4	False
CACNA1E-Related_Developmental_and_Epileptic_Encephalopathy	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.218274055461	0.803714817699	36	16	False
CAGSSS_Syndrome	ALL_MAPPINGS_CONSISTENT	ALL_MAPPINGS_CONSISTENT	0.5	0.9	0.196446649915	0.723343335929	72	32	False
