accession,dataset,organism,tissue,source_metadata,in_DepressionMood_PAC,in_ADprogression_PAC,assigned_group,included,exclusion_reason
M56009,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56019,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56024,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56039,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56061,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M56216,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56356,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M56398,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56537,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M56783,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M57046,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M57064,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M571120,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M57242,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M57490,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M57528,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M576228,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M58071,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M580893,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M5812,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M58301,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M587421,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M5883,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M59029,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M59593,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M59628,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M59697,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M59796,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M59860,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M59910,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M60126,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M60407,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M604571,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M60654,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M60935,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M61106,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M61517,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M61563,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M6160,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M6161,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M61631,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M61680,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M61862,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M61911,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M61946,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M628275,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M63213,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M6344,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M6362,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M63628,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M63731,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M638682,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M639636,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64012,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M64293,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64456,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M64468,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64525,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64693,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M64757,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64886,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M64891,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M652464,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M65319,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M65551,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M6559,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M65630,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M65797,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M65832,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M660286,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M66132,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M6643,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M66586,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M66789,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M66831,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M66858,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M66936,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67003,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67089,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67351,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67602,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67720,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M67782,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M67819,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M67883,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M67937,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M68017,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M68396,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M6874,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M68806,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M69155,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M69422,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M69471,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M69779,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M69984,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M70195,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,0,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M70207,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M70235,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M70362,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M70658,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M70729,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M7107,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M71238,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M71241,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M71503,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M7155,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M71602,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M71719,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M71789,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M72035,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M72079,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M72114,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M72548,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M72578,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M7283,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M73007,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M73140,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M732693,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M73293,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M73342,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M7353,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M73574,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M73787,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M74087,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M74600,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M74881,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M74931,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75093,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75112,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M755,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75505,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75705,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75757,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M75954,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M76188,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M76268,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M76286,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M76365,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M7649,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M76564,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M76651,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M76678,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M76897,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M7698,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77061,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M77164,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77223,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77445,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M77549,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77591,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77677,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77920,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77958,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M77983,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
