curie,label,root,retrieved_at
CL:1000303,fibroblast of areolar connective tissue,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000304,fibroblast of connective tissue of nonglandular part of prostate,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000305,fibroblast of connective tissue of glandular part of prostate,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000306,fibroblast of tunica adventitia of artery,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000307,fibroblast of dense regular elastic tissue,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000308,fibrocyte of adventitia of ureter,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000309,epicardial adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000310,adipocyte of epicardial fat of right ventricle,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000311,adipocyte of epicardial fat of left ventricle,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000489,reticular cell of splenic cord,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000691,kidney interstitial myofibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000692,kidney interstitial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000693,kidney interstitial fibrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000708,ureter adventitial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:1000742,glomerular mesangial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:1001318,renal interstitial pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:1001607,articular chondrocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:1001608,foreskin fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:1001609,muscle fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000002,decidual cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000007,articular chondrocyte of knee joint,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000012,fibroblast of pedal digit skin,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000013,fibroblast of skin of abdomen,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000014,fibroblast of upper leg skin,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000015,fibroblast of arm,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000017,fibroblast of peridontal ligament,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000042,embryonic fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000043,brain pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000051,splenic fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000057,femoral osteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000058,calvarial osteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000061,placental amniotic mesenchymal stromal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000063,ovarian fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000066,cardiac ventricle fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000067,cardiac atrium fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000068,pericardium fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000069,gallbladder fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000070,optic choroid fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000072,adipose microvascular endothelial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000078,placental pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000079,mesenchymal stem cell of femoral bone marrow,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000080,mesenchymal stem cell of abdominal adipose tissue,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000083,hair follicle dermal papilla cell of scalp,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000093,bronchus fibroblast of lung,CL:0002320,2026-08-29T15:27:59+00:00
CL:2000096,fibroblast of the reticular layer of dermis,CL:0002320,2026-08-29T15:27:59+00:00
CL:4006000,fibroblast of breast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4006001,fibroblast of skin of scalp,CL:0002320,2026-08-29T15:27:59+00:00
CL:4023051,vascular leptomeningeal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4023054,mesothelial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4023056,vascular leptomeningeal cell (Mmus),CL:0002320,2026-08-29T15:27:59+00:00
CL:4023058,mesothelial fibroblast of the leptomeninx,CL:0002320,2026-08-29T15:27:59+00:00
CL:4023097,arachnoid barrier cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4028004,alveolar type 1 fibroblast cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4028006,alveolar adventitial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4030001,stromal cell of thymus,CL:0002320,2026-08-29T15:27:59+00:00
CL:4030003,interstitial cell of thymus,CL:0002320,2026-08-29T15:27:59+00:00
CL:4030022,renal medullary fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4030025,renal cortical fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4030035,dental pulp stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:4033016,secondary crest myofibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4033018,lung megakaryocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:4033025,perichondrial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4033026,lung perichondrial fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:4033043,lung interstitial macrophage,CL:0002320,2026-08-29T15:27:59+00:00
CL:4040004,mesenchymal stem cell of orbital adipose tissue,CL:0002320,2026-08-29T15:27:59+00:00
