slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
Cone-rod_Dystrophy_And_Hearing_Loss_2	Cone-rod dystrophy and hearing loss 2	MONDO:0020780	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Congenital_Adrenal_Hyperplasia	Congenital Adrenal Hyperplasia	MONDO:0018479	1	TIMED_OUT	ICD10:E25.0	0	0	ORDO:418	1	skos:exactMatch	0
Congenital_Bilateral_Absence_of_Vas_Deferens	Congenital Bilateral Absence of Vas Deferens	MONDO:0018801	1	TIMED_OUT	ICD10:Q55.4	0	0	ORDO:48	1	skos:broadMatch	0
Congenital_Chloride_Diarrhea	Congenital Chloride Diarrhea	MONDO:0008964	1	ALL_MAPPINGS_CONSISTENT	ICD10:P78.3	0	0	ORDO:53689	1	skos:broadMatch	0
Congenital_Disorder_Of_Glycosylation_Type_ICC	Congenital Disorder of Glycosylation, Type ICC	MONDO:0026729	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Congenital_Disorder_of_Glycosylation_Type_IIw	Congenital Disorder of Glycosylation, Type IIw	MONDO:0030437	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Congenital_Dyserythropoietic_Anemia	Congenital Dyserythropoietic Anemia	MONDO:0019403	1	TIMED_OUT	ICD10:D64.4|ICD10CM:D64.4	0	2	ORDO:85	1	skos:exactMatch	0
Congenital_Fibrosis_of_the_Extraocular_Muscles	Congenital Fibrosis of the Extraocular Muscles	MONDO:0007614	1	TIMED_OUT	ICD10:H49.8	0	0	ORDO:45358	1	skos:broadMatch	0
Congenital_Glaucoma	Congenital Glaucoma	MONDO:0020366	1	TIMED_OUT	ICD10:Q15.0	0	0		0		0
Congenital_Heart_Defects_Multiple_Types_2	Congenital Heart Defects, Multiple Types, 2	MONDO:0014000	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Congenital_Heart_Defects_and_Skeletal_Malformations_Syndrome	Congenital Heart Defects and Skeletal Malformations Syndrome	MONDO:0060532	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.8	0	0	ORDO:643503	1	skos:broadMatch	0
Congenital_Heart_Disease	Congenital Heart Disease	MONDO:0005453	0	RETRACTED		0	0		0		1
Congenital_Hydrocephalus	Congenital Hydrocephalus	MONDO:0016349	0	ALL_MAPPINGS_CONSISTENT	ICD10CM:Q03	0	2	ORDO:2185	4	skos:narrowMatch	0
Congenital_Hypomyelinating_Neuropathy	Congenital Hypomyelinating Neuropathy	MONDO:0033352	1	TIMED_OUT	ICD10:G60.0	0	0		0		0
Congenital_Hypothyroidism	Congenital Hypothyroidism	MONDO:0018612	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:442	0		1
Congenital_Insensitivity_to_Pain	Congenital Insensitivity to Pain	MONDO:0015364	1	TIMED_OUT	ICD10:G60.8	0	0	ORDO:140471	0		0
Congenital_Lactase_Deficiency	Congenital Lactase Deficiency	MONDO:0009115	1	TIMED_OUT	ICD10:E73.0|ICD10CM:E73.0	0	2	ORDO:53690	1	skos:exactMatch	0
Congenital_Myasthenic_Syndrome	Congenital Myasthenic Syndrome	MONDO:0018940	1	ALL_MAPPINGS_CONSISTENT	ICD10:G70.2	0	0	ORDO:590	1	skos:exactMatch	0
Congenital_Myasthenic_Syndrome_15	Congenital Myasthenic Syndrome 15	MONDO:0014542	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Congenital_Myasthenic_Syndrome_6	Congenital Myasthenic Syndrome 6	MONDO:0009689	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
