slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
Inborn_Disorder_of_Methionine_Cycle_and_Sulfur_Amino_Acid_Metabolism	ordo	ORDO:394	skos:broadMatch	ICD-10:E72.1	ICD10:E72.1	ordo.db	ProperSubClassOf	ORDO:394	ICD10:E72.1	0.9	INCLUDED	NA
Inborn_Disorder_of_Methionine_Cycle_and_Sulfur_Amino_Acid_Metabolism	ordo	ORDO:395	skos:broadMatch	ICD-10:E72.1	ICD10:E72.1	ordo.db	ProperSubClassOf	ORDO:395	ICD10:E72.1	0.9	INCLUDED	NA
Inborn_Disorder_of_Methionine_Cycle_and_Sulfur_Amino_Acid_Metabolism	ordo	ORDO:79173	skos:exactMatch	ICD-10:E72.1	ICD10:E72.1	ordo.db	EquivalentTo	ORDO:79173	ICD10:E72.1	0.95	INCLUDED	NA
Inborn_Disorder_of_Methionine_Cycle_and_Sulfur_Amino_Acid_Metabolism	ordo	ORDO:79282	skos:broadMatch	ICD-10:D58.8	ICD10:D58.8	ordo.db	ProperSubClassOf	ORDO:79282	ICD10:D58.8	0.9	INCLUDED	NA
Inclusion_Body_Myopathy_with_Paget_Disease_of_Bone_and_Frontotemporal_Dementia	ordo	ORDO:52430	skos:broadMatch	ICD-10:G71.8	ICD10:G71.8	ordo.db	ProperSubClassOf	ORDO:52430	ICD10:G71.8	0.9	INCLUDED	NA
Incontinentia_Pigmenti	ordo	ORDO:464	skos:exactMatch	ICD-10:Q82.3	ICD10:Q82.3	ordo.db	EquivalentTo	ORDO:464	ICD10:Q82.3	0.95	INCLUDED	NA
Infantile-Onset_Pompe_Disease	ordo	ORDO:308552	skos:broadMatch	ICD-10:E74.0	ICD10:E74.0	ordo.db	ProperSubClassOf	ORDO:308552	ICD10:E74.0	0.9	INCLUDED	NA
Infantile_Hypercalcemia	ordo	ORDO:300547	skos:broadMatch	ICD-10:E83.5	ICD10:E83.5	ordo.db	ProperSubClassOf	ORDO:300547	ICD10:E83.5	0.9	INCLUDED	NA
Infantile_Liver_Failure_Syndrome_1	ordo	ORDO:370088	skos:broadMatch	ICD-10:K72.0	ICD10:K72.0	ordo.db	ProperSubClassOf	ORDO:370088	ICD10:K72.0	0.9	INCLUDED	NA
Infantile_Parkinsonism-Dystonia	ordo	ORDO:238455	skos:broadMatch	ICD-10:G24.8	ICD10:G24.8	ordo.db	ProperSubClassOf	ORDO:238455	ICD10:G24.8	0.9	INCLUDED	NA
Inherited_Ichthyosis	ordo	ORDO:461	skos:broadMatch	ICD-10:Q80.1	ICD10:Q80.1	ordo.db	ProperSubClassOf	ORDO:461	ICD10:Q80.1	0.9	INCLUDED	NA
Inherited_Ichthyosis	ordo	ORDO:634	skos:broadMatch	ICD-10:Q80.8	ICD10:Q80.8	ordo.db	ProperSubClassOf	ORDO:634	ICD10:Q80.8	0.9	INCLUDED	NA
