disorder	mondo_id	n_dismech	n_kg	exact	more_specific	more_general	unmatched	semantic_overlap	unmatched_terms
Incontinentia_Pigmenti	MONDO:0010631	14	90	10	3	0	1	13	HP:0012500(Verrucous papule)
Infantile_Hypercalcemia	MONDO:0000212	16	16	13	0	0	3	13	HP:0000822(Hypertension);HP:0002019(Constipation);HP:0012622(Chronic kidney disease)
Infantile_Myofibromatosis	MONDO:0009227	5	2	2	0	0	3	2	HP:0001482(Subcutaneous nodule);HP:0002797(Osteolysis);HP:0100544(Neoplasm of the heart)
Infantile_Parkinsonism-Dystonia	MONDO:0013150	12	79	11	0	1	0	12	
Infantile_Spasms	MONDO:0018097	7	118	7	0	0	0	7	
Inflammatory_Myofibroblastic_Tumor	MONDO:0015798	8	0	0	0	0	8	0	HP:0001894(Thrombocytosis);HP:0001903(Anemia);HP:0001945(Fever);HP:0001974(Increased total leukocyte count);HP:0002094(Dyspnea);HP:0002664(Neoplasm);HP:0003565(Elevated erythrocyte sedimentation rate);HP:0010702(Increased circulating immunoglobulin concentration)
Influenza	MONDO:0005812	10	41	8	0	0	2	8	HP:0025143(Chills);HP:0031417(Rhinorrhea)
Inherited_Aplastic_Anemia	MONDO:0001713	14	419	9	2	0	3	11	HP:0001738(Exocrine pancreatic insufficiency);HP:0002206(Pulmonary fibrosis);HP:0008404(Nail dystrophy)
Inherited_Ichthyosis	MONDO:0015947	9	353	9	0	0	0	9	
Inherited_Porphyria	MONDO:0019142	9	236	8	0	1	0	9	
Inherited_Retinal_Dystrophy	MONDO:0019118	8	689	8	0	0	0	8	
Inherited_Threoninemia	MONDO:0010118	10	4	4	0	0	6	4	HP:0000556(Retinal dystrophy);HP:0001249(Intellectual disability);HP:0001254(Lethargy);HP:0002240(Hepatomegaly);HP:0008288(Nonketotic hyperglycinemia);HP:0011968(Feeding difficulties)
Intracranial_Berry_Aneurysm	MONDO:0016483	9	19	3	0	1	5	4	HP:0000238(Hydrocephalus);HP:0000602(Ophthalmoplegia);HP:0002017(Nausea and vomiting);HP:0003306(Spinal rigidity);HP:0030907(Thunderclap headache)
Irritable_Bowel_Syndrome	MONDO:0005052	6	0	0	0	0	6	0	HP:0002014(Diarrhea);HP:0002019(Constipation);HP:0002027(Abdominal pain);HP:0003270(Abdominal distention);HP:0012378(Fatigue);HP:0030895(Abnormal gastrointestinal motility)
Ischemic_Stroke	MONDO:1060198	5	2	0	0	0	5	0	HP:0001260(Dysarthria);HP:0001269(Hemiparesis);HP:0002015(Dysphagia);HP:0002140(Ischemic stroke);HP:0002381(Aphasia)
Isobutyryl-CoA_Dehydrogenase_Deficiency	MONDO:0012648	14	12	9	0	0	5	9	HP:0000717(Autism);HP:0001270(Motor delay);HP:0001397(Hepatic steatosis);HP:0001510(Growth delay);HP:0002910(Elevated circulating hepatic transaminase concentration)
Isolated_Woolly_Hair	MONDO:0008686	6	36	5	0	1	0	6	
Isovaleric_Acidemia	MONDO:0009475	15	41	10	0	3	2	13	HP:0001943(Hypoglycemia);HP:0006846(Acute encephalopathy)
Jackson-Weiss_Syndrome	MONDO:0007400	6	32	4	0	2	0	6	
Jeavons_Syndrome	MONDO:0015346	5	23	2	1	0	2	3	HP:0000572(Visual loss);HP:0100543(Cognitive impairment)
Jet_Lag	MONDO:0024381	6	0	0	0	0	6	0	HP:0000737(Irritability);HP:0001262(Excessive daytime somnolence);HP:0002360(Sleep disturbance);HP:0012378(Fatigue);HP:0025406(Asthenia);HP:0100543(Cognitive impairment)
Jeune_Asphyxiating_Thoracic_Dystrophy	MONDO:0018770	17	394	17	0	0	0	17	
Joubert_syndrome	MONDO:0018772	43	323	37	0	3	3	40	HP:0001409(Portal hypertension);HP:0002040(Esophageal varix);HP:0011098(Speech apraxia)
Junctional_Epidermolysis_Bullosa	MONDO:0017612	12	178	10	1	1	0	12	
Juvenile_Idiopathic_Arthritis	MONDO:0011429	35	103	35	0	0	0	35	
Juvenile_Myelomonocytic_Leukemia	MONDO:0011908	6	1	0	0	0	6	0	HP:0001744(Splenomegaly);HP:0001873(Thrombocytopenia);HP:0001903(Anemia);HP:0001974(Increased total leukocyte count);HP:0002240(Hepatomegaly);HP:0012311(Increased total monocyte count)
Juvenile_Myoclonic_Epilepsy	MONDO:0009696	5	16	2	3	0	0	5	
Juvenile_Open_Angle_Glaucoma	MONDO:0020367	5	20	4	1	0	0	5	
Juvenile_Polyposis_Syndrome	MONDO:0017380	10	83	9	0	1	0	10	
Juvenile_Sialidosis_Type_2	MONDO:0019681	14	38	9	1	1	3	11	HP:0001371(Flexion contracture);HP:0002650(Scoliosis);HP:0004322(Short stature)
Juvenile_Temporal_Arteritis	MONDO:0016848	2	8	1	1	0	0	2	
KBG_Syndrome	MONDO:0007846	23	65	14	2	4	3	20	HP:0000403(Recurrent otitis media);HP:0000729(Autistic behavior);HP:0000750(Delayed speech and language development)
KCNA2-Related_Developmental_and_Epileptic_Encephalopathy	MONDO:0014607	8	12	4	1	1	2	6	HP:0000253(Progressive microcephaly);HP:0001272(Cerebellar atrophy)
KCNQ2_Developmental_and_Epileptic_Encephalopathy	MONDO:0013387	6	23	5	1	0	0	6	
KCNV2_Related_Retinopathy	MONDO:1040063	4	10	1	0	0	3	1	HP:0000551(Color vision defect);HP:0025010(Foveal atrophy);HP:0030466(Abnormal full-field electroretinogram)
KIT_Mutant_Melanoma	MONDO:0003865	4	0	0	0	0	4	0	HP:0002861(Melanoma);HP:0012056(Cutaneous melanoma);HP:0012059(Lentigo maligna melanoma);HP:0012060(Acral lentiginous melanoma)
KRAS_G12C_Mutant_NSCLC	MONDO:0005061	3	0	0	0	0	3	0	HP:0004375(Neoplasm of the nervous system);HP:0030078(Lung adenocarcinoma);HP:0100526(Neoplasm of the lung)
KRT1_Keratinopathies	MONDO:0007239	7	28	6	1	0	0	7	
KRT85_Ectodermal_Dysplasia	MONDO:0011177	4	14	2	0	1	1	3	HP:0002209(Sparse scalp hair)
Kabuki_Syndrome	MONDO:0016512	28	232	27	0	1	0	28	
Kallmann_Syndrome	MONDO:0018800	11	87	10	0	1	0	11	
Kanzaki_Disease	MONDO:0012222	7	34	7	0	0	0	7	
Kaposi_Sarcoma	MONDO:0005055	5	26	3	0	2	0	5	
Kawasaki_Disease	MONDO:0012727	39	46	36	1	2	0	39	
Kearns-Sayre_Syndrome	MONDO:0010787	6	41	5	0	1	0	6	
Keipert_syndrome	MONDO:0009720	7	40	2	1	1	3	4	HP:0001092(Absent lacrimal punctum);HP:0001263(Global developmental delay);HP:0001999(Abnormal facial shape)
Kennedy_Disease	MONDO:0010735	14	25	8	3	1	2	12	HP:0002483(Bulbar signs);HP:0003115(Abnormal EKG)
Keratoderma_Hereditarium_Mutilans	MONDO:0007422	8	18	7	1	0	0	8	
Keratosis_Follicularis_Spinulosa_Decalvans	MONDO:0000136	19	27	19	0	0	0	19	
Kikuchi-Fujimoto_Disease	MONDO:0018864	8	50	7	0	1	0	8	
Kilquist_Syndrome	MONDO:0033664	9	25	1	0	3	5	4	HP:0000970(Anhidrosis);HP:0001097(Keratoconjunctivitis sicca);HP:0001508(Failure to thrive);HP:0002579(Gastrointestinal dysmotility);HP:0006536(Airway obstruction)
Kindler_Epidermolysis_Bullosa	MONDO:0008260	11	91	11	0	0	0	11	
Kleefstra_Syndrome	MONDO:0012455	15	166	15	0	0	0	15	
Klinefelter_Syndrome	MONDO:0006823	13	1	1	0	0	12	1	HP:0000054(Micropenis);HP:0000098(Tall stature);HP:0000135(Hypogonadism);HP:0000750(Delayed speech and language development);HP:0000771(Gynecomastia);HP:0000855(Insulin resistance);HP:0000938(Osteopenia);HP:0001252(Hypotonia);HP:0001328(Specific learning disability);HP:0001626(Abnormality of the cardiovascular system);HP:0007018(Attention deficit hyperactivity disorder);HP:0008734(Decreased testicular size)
Klippel-Feil_Syndrome	MONDO:0001029	5	80	4	1	0	0	5	
Kniest_Dysplasia	MONDO:0007987	20	76	15	2	1	2	18	HP:0000774(Narrow chest);HP:0001762(Talipes equinovarus)
Konzo	MONDO:0022666	5	0	0	0	0	5	0	HP:0001258(Spastic paraplegia);HP:0002061(Lower limb spasticity);HP:0002064(Spastic gait);HP:0002493(Upper motor neuron dysfunction);HP:0100543(Cognitive impairment)
Koolen_de_Vries_syndrome	MONDO:0012496	7	118	5	2	0	0	7	
Kosaki_Overgrowth_Syndrome	MONDO:0014704	15	24	5	0	0	10	5	HP:0000256(Macrocephaly);HP:0000280(Coarse facial features);HP:0000687(Widely spaced teeth);HP:0001371(Flexion contracture);HP:0002500(Abnormal cerebral white matter morphology);HP:0002652(Skeletal dysplasia);HP:0004944(Dilatation of the cerebral artery);HP:0009125(Lipodystrophy);HP:0012385(Camptodactyly);HP:0100702(Arachnoid cyst)
Krabbe_Disease	MONDO:0009499	8	143	6	2	0	0	8	
Krabbe_Disease_Due_To_Saposin_A_Deficiency	MONDO:0012720	5	16	1	0	2	2	3	HP:0002415(Leukodystrophy);HP:0002448(Progressive encephalopathy)
Kufor-Rakeb_syndrome	MONDO:0011706	6	74	2	2	1	1	5	HP:0000317(Facial myokymia)
Kummell_Disease	MONDO:0003940	4	0	0	0	0	4	0	HP:0002196(Myelopathy);HP:0002808(Kyphosis);HP:0002953(Vertebral compression fracture);HP:0003418(Back pain)
L-2-Hydroxyglutaric_Aciduria	MONDO:0009370	15	28	6	3	1	5	10	HP:0001260(Dysarthria);HP:0001263(Global developmental delay);HP:0001332(Dystonia);HP:0002072(Chorea);HP:0002080(Intention tremor)
L1_Syndrome	MONDO:0017140	11	60	11	0	0	0	11	
LRBA_Deficiency	MONDO:0013863	7	44	5	0	2	0	7	
Labyrinthitis	MONDO:0002008	6	1	0	0	0	6	0	HP:0000360(Tinnitus);HP:0000407(Sensorineural hearing impairment);HP:0000639(Nystagmus);HP:0002017(Nausea and vomiting);HP:0002141(Gait imbalance);HP:0002321(Vertigo)
Lafora_Disease	MONDO:0009697	19	43	13	2	2	2	17	HP:0001272(Cerebellar atrophy);HP:0002015(Dysphagia)
Landau-Kleffner_Syndrome	MONDO:0009509	7	44	5	1	0	1	6	HP:5200410(Auditory agnosia)
Lane_Hamilton_Syndrome	MONDO:0800124	5	0	0	0	0	5	0	HP:0001891(Iron deficiency anemia);HP:0002024(Malabsorption);HP:0002094(Dyspnea);HP:0002105(Hemoptysis);HP:0025420(Diffuse alveolar hemorrhage)
Langerhans_Cell_Histiocytosis	MONDO:0018310	9	40	5	1	0	3	6	HP:0001272(Cerebellar atrophy);HP:0001876(Pancytopenia);HP:0032445(Pulmonary cyst)
Larsen_Syndrome	MONDO:0007875	12	63	11	1	0	0	12	
Laryngeal_Squamous_Cell_Carcinoma	MONDO:0005595	6	0	0	0	0	6	0	HP:0001609(Hoarse voice);HP:0001824(Weight loss);HP:0002015(Dysphagia);HP:0002094(Dyspnea);HP:0002716(Lymphadenopathy);HP:0010307(Stridor)
Laryngotracheoesophageal_Cleft	MONDO:0016060	14	25	5	1	1	7	7	HP:0002013(Vomiting);HP:0002090(Pneumonia);HP:0002781(Upper airway obstruction);HP:0011951(Aspiration pneumonia);HP:0030828(Wheezing);HP:0033542(Bronchial wall thickening);HP:0100750(Atelectasis)
Late_Complement_Component_Deficiency	MONDO:0015700	6	12	2	0	1	3	3	HP:0003095(Septic arthritis);HP:0007274(Recurrent bacterial meningitis);HP:0100806(Sepsis)
Lathyrism	MONDO:0043339	12	0	0	0	0	12	0	HP:0000716(Depression);HP:0001258(Spastic paraplegia);HP:0002061(Lower limb spasticity);HP:0002064(Spastic gait);HP:0002169(Clonus);HP:0002395(Lower limb hyperreflexia);HP:0002647(Aortic dissection);HP:0002652(Skeletal dysplasia);HP:0003487(Babinski sign);HP:0004942(Aortic aneurysm);HP:0007340(Lower limb muscle weakness);HP:0100777(Exostoses)
Lead_Poisoning	MONDO:0018019	12	60	9	0	0	3	9	HP:0000168(Abnormality of the gingiva);HP:0001263(Global developmental delay);HP:0001997(Gout)
Leber_Congenital_Amaurosis_10	MONDO:0012723	9	3	1	0	0	8	1	HP:0000540(Hypermetropia);HP:0000550(Undetectable electroretinogram);HP:0000580(Pigmentary retinopathy);HP:0000613(Photophobia);HP:0000639(Nystagmus);HP:0001483(Eye poking);HP:0011505(Cystoid macular edema);HP:0030211(Slow pupillary light response)
Leber_Congenital_Amaurosis_with_Early-Onset_Deafness	MONDO:0060650	3	9	1	1	0	1	2	HP:0000510(Rod-cone dystrophy)
Left_Ventricular_Noncompaction	MONDO:0018901	6	42	6	0	0	0	6	
Legionnaires_Disease	MONDO:0005824	10	44	6	2	0	2	8	HP:0001289(Confusion);HP:0003201(Rhabdomyolysis)
Leigh_Syndrome	MONDO:0009723	14	227	11	3	0	0	14	
Leiomyosarcoma	MONDO:0005058	2	0	0	0	0	2	0	HP:0002664(Neoplasm);HP:0031459(Soft tissue neoplasm)
Leishmaniasis	MONDO:0011989	1	25	1	0	0	0	1	
Lennox-Gastaut_Syndrome	MONDO:0016532	10	54	10	0	0	0	10	
Lenz-Majewski_hyperostotic_dwarfism	MONDO:0007892	16	100	11	2	0	3	13	HP:0001250(Seizure);HP:0001999(Abnormal facial shape);HP:0002870(Obstructive sleep apnea)
Leprosy	MONDO:0005124	5	48	1	1	1	2	3	HP:0000979(Purpura);HP:0012219(Erythema nodosum)
Leptospirosis	MONDO:0005825	15	40	9	2	0	4	11	HP:0000509(Conjunctivitis);HP:0005521(Disseminated intravascular coagulation);HP:0033677(Acute respiratory distress syndrome);HP:0100520(Oliguria)
Leri-Weill_Dyschondrosteosis	MONDO:0007481	14	50	9	1	1	3	11	HP:0002967(Cubitus valgus);HP:0005773(Short forearm);HP:0009763(Limb pain)
Lesch-Nyhan_Syndrome	MONDO:0010298	23	35	16	3	1	3	20	HP:0000736(Short attention span);HP:0001699(Sudden death);HP:0033073(Urate tophus)
Leukoencephalopathy_With_Vanishing_White_Matter	MONDO:0800448	9	102	7	2	0	0	9	
Li-Fraumeni_Syndrome	MONDO:0018875	8	40	7	1	0	0	8	
Liberfarb_syndrome	MONDO:0030045	9	12	5	0	1	3	6	HP:0000648(Optic atrophy);HP:0001382(Joint hypermobility);HP:0002652(Skeletal dysplasia)
Lichen_Simplex_Chronicus	MONDO:0006585	1	0	0	0	0	1	0	HP:0100725(Lichenification)
Lichtenstein-Knorr_Syndrome	MONDO:0014572	6	18	5	0	0	1	5	HP:0001250(Seizure)
Liddle_Syndrome	MONDO:0008323	14	13	13	0	0	1	13	HP:0001712(Left ventricular hypertrophy)
Limb-Girdle_Muscular_Dystrophy_Autosomal_Dominant	MONDO:0015151	6	126	6	0	0	0	6	
Limbic_Encephalitis	MONDO:0015588	11	41	7	2	1	1	10	HP:0002360(Sleep disturbance)
Lipoic_Acid_Synthetase_Deficiency	MONDO:0013762	10	23	5	3	0	2	8	HP:0001508(Failure to thrive);HP:0002154(Hyperglycinemia)
Lipoid_Proteinosis	MONDO:0009530	13	36	6	1	1	5	8	HP:0002170(Intracranial hemorrhage);HP:0012718(Abnormal gastrointestinal tract morphology);HP:0025748(Restricted tongue movement);HP:0034414(Thick oral frenulum);HP:0100852(Abnormal fear-induced behavior)
Liposarcoma	MONDO:0005060	3	14	0	1	1	1	2	HP:0003270(Abdominal distention)
Lipoyl_Transferase_1_Deficiency	MONDO:0014576	5	23	1	1	1	2	3	HP:0001250(Seizure);HP:0001924(Sideroblastic anemia)
Lissencephaly_Spectrum_Disorders	MONDO:0018838	12	463	12	0	0	0	12	
Livedoid_Vasculopathy	MONDO:0025514	4	50	2	0	1	1	3	HP:0033505(Livedo reticularis)
Liver_Cirrhosis	MONDO:0005155	9	49	7	0	0	2	7	HP:0002239(Gastrointestinal hemorrhage);HP:0003256(Abnormality of the coagulation cascade)
Loeys-Dietz_Syndrome	MONDO:0018954	38	174	36	1	0	1	37	HP:0001197(Abnormality of prenatal development or birth)
Long-Chain_3-Hydroxyacyl-CoA_Dehydrogenase_Deficiency	MONDO:0012173	11	29	4	3	0	4	7	HP:0001254(Lethargy);HP:0003198(Myopathy);HP:0003201(Rhabdomyolysis);HP:0003546(Exercise intolerance)
Long_COVID	MONDO:0100233	23	0	0	0	0	23	0	HP:0000458(Anosmia);HP:0000716(Depression);HP:0000739(Anxiety);HP:0000741(Apathy);HP:0001649(Tachycardia);HP:0001962(Palpitations);HP:0002014(Diarrhea);HP:0002018(Nausea);HP:0002094(Dyspnea);HP:0002315(Headache);HP:0002354(Memory impairment);HP:0002360(Sleep disturbance);HP:0002829(Arthralgia);HP:0003326(Myalgia);HP:0012173(Orthostatic tachycardia);HP:0012378(Fatigue);HP:0012735(Cough);HP:0030973(Postexertional symptom exacerbation);HP:0031457(Pulmonary opacity);HP:0033676(Posttraumatic stress symptom);HP:0041051(Ageusia);HP:0100749(Chest pain);HP:0100785(Insomnia)
Long_QT_Syndrome	MONDO:0019171	8	141	8	0	0	0	8	
Lowe_Syndrome	MONDO:0010645	8	148	5	2	1	0	8	
Ludwigs_Angina	MONDO:0006576	9	0	0	0	0	9	0	HP:0000211(Trismus);HP:0001609(Hoarse voice);HP:0001945(Fever);HP:0002015(Dysphagia);HP:0002094(Dyspnea);HP:0002307(Drooling);HP:0010307(Stridor);HP:0010628(Facial palsy);HP:6000176(Anterior neck swelling)
Lung_Carcinoma	MONDO:0005138	4	12	4	0	0	0	4	
Lupus_Nephritis	MONDO:0005556	5	0	0	0	0	5	0	HP:0000083(Renal insufficiency);HP:0000093(Proteinuria);HP:0000099(Glomerulonephritis);HP:0000123(Nephritis);HP:0000822(Hypertension)
Lyme_Disease	MONDO:0019632	9	24	4	1	0	4	5	HP:0000726(Dementia);HP:0012486(Myelitis);HP:0031180(Erythema migrans);HP:0033804(Subepidermal blistering)
Lymphangioleiomyomatosis	MONDO:0011705	8	36	5	1	0	2	6	HP:0002878(Respiratory failure);HP:0032445(Pulmonary cyst)
Lymphatic_Filariasis	MONDO:0016075	2	50	2	0	0	0	2	
Lymphoma	MONDO:0005062	4	207	4	0	0	0	4	
Lynch_Syndrome	MONDO:0005835	5	62	1	1	1	2	3	HP:0030153(Cholangiocarcinoma);HP:0040274(Adenocarcinoma of the small intestine)
Lysinuric_Protein_Intolerance	MONDO:0009109	16	98	16	0	0	0	16	
Lysosomal_Acid_Phosphatase_Deficiency	MONDO:0008705	1	0	0	0	0	1	0	HP:0001317(Abnormal cerebellum morphology)
MALT_Lymphoma	MONDO:0007650	3	18	1	1	0	1	2	HP:0410019(Epigastric pain)
MAN2C1-congenital_disorder_of_deglycosylation_2	MONDO:0030770	3	34	2	0	1	0	3	
MCAD_Deficiency	MONDO:0008721	14	47	8	3	0	3	11	HP:0001298(Encephalopathy);HP:0001699(Sudden death);HP:0007018(Attention deficit hyperactivity disorder)
MCM8-related_gametogenic_failure	MONDO:0044776	8	8	4	0	0	4	4	HP:0000815(Hypergonadotropic hypogonadism);HP:0003251(Male infertility);HP:0040012(Chromosome breakage);HP:0100728(Germ cell neoplasia)
MECP2_Duplication_Syndrome	MONDO:0010436	11	43	3	1	1	6	5	HP:0001250(Seizure);HP:0002019(Constipation);HP:0002191(Progressive spasticity);HP:0002376(Developmental regression);HP:0008947(Floppy infant);HP:0011968(Feeding difficulties)
MED13_Syndrome	MONDO:0032485	22	19	5	1	4	12	10	HP:0000238(Hydrocephalus);HP:0000252(Microcephaly);HP:0000407(Sensorineural hearing impairment);HP:0000587(Abnormal optic nerve morphology);HP:0000924(Abnormality of the skeletal system);HP:0001105(Retinal atrophy);HP:0001249(Intellectual disability);HP:0001273(Abnormal corpus callosum morphology);HP:0001510(Growth delay);HP:0001627(Abnormal heart morphology);HP:0002251(Aganglionic megacolon);HP:0011069(Supernumerary tooth)
MEDNIK_syndrome	MONDO:0012251	9	24	3	2	1	3	6	HP:0001250(Seizure);HP:0002286(Fair hair);HP:0011220(Prominent forehead)
MELAS_Syndrome	MONDO:0010789	16	101	16	0	0	0	16	
MET_Exon_14_Skipping_NSCLC	MONDO:0005061	3	0	0	0	0	3	0	HP:0004375(Neoplasm of the nervous system);HP:0030078(Lung adenocarcinoma);HP:0100526(Neoplasm of the lung)
MGAT2-congenital_disorder_of_glycosylation	MONDO:0008908	20	97	15	1	2	2	18	HP:0002093(Respiratory insufficiency);HP:0100704(Cerebral visual impairment)
MHC_Class_II_Deficiency	MONDO:0008855	24	83	23	1	0	0	24	
MITF_Waardenburg_Tietz_Spectrum	MONDO:0018094	9	125	4	3	0	2	7	HP:0000256(Macrocephaly);HP:0011002(Osteopetrosis)
MMACHC-related_Methylmalonic_Aciduria_and_Homocystinuria_cblC_Type	MONDO:0010184	6	106	6	0	0	0	6	
MOGAD	MONDO:1040024	11	0	0	0	0	11	0	HP:0000572(Visual loss);HP:0001085(Papilledema);HP:0001250(Seizure);HP:0001251(Ataxia);HP:0001298(Encephalopathy);HP:0002315(Headache);HP:0002385(Paraparesis);HP:0007305(CNS demyelination);HP:0012486(Myelitis);HP:0100561(Spinal cord lesion);HP:0100653(Optic neuritis)
MPDU1-congenital_disorder_of_glycosylation	MONDO:0012211	18	40	5	1	2	10	8	HP:0000407(Sensorineural hearing impairment);HP:0000557(Buphthalmos);HP:0001638(Cardiomyopathy);HP:0001873(Thrombocytopenia);HP:0001999(Abnormal facial shape);HP:0002093(Respiratory insufficiency);HP:0002104(Apnea);HP:0004322(Short stature);HP:0008007(Primary congenital glaucoma);HP:0012440(Abnormal biliary tract morphology)
MSI_High_Colorectal_Cancer	MONDO:0005575	5	115	4	0	0	1	4	HP:0001903(Anemia)
MSI_High_Endometrial_Cancer	MONDO:0011962	3	1	0	0	0	3	0	HP:0012378(Fatigue);HP:0033840(Postmenopausal bleeding);HP:0034267(Pelvic pain)
MYO6_Hearing_Loss	MONDO:0019497	4	94	2	2	0	0	4	
Mabry_Syndrome	MONDO:0016596	18	164	13	1	3	1	17	HP:0001272(Cerebellar atrophy)
Machado_Joseph_Disease	MONDO:0007182	14	61	9	1	3	1	13	HP:0002080(Intention tremor)
Maculopapular_Cutaneous_Mastocytosis	MONDO:0019316	9	21	5	1	0	3	6	HP:0000953(Hyperpigmentation of the skin);HP:0040186(Maculopapular exanthema);HP:0100495(Mastocytosis)
Madras_Motor_Neuron_Disease	MONDO:0015307	6	17	4	0	1	1	5	HP:0001308(Tongue fasciculations)
Major_Depressive_Disorder	MONDO:0002009	7	1	1	0	0	6	1	HP:0001266(Choreoathetosis);HP:0002360(Sleep disturbance);HP:0004396(Poor appetite);HP:0012154(Anhedonia);HP:0012378(Fatigue);HP:0100543(Cognitive impairment)
Malan_Syndrome	MONDO:0013885	17	58	14	0	0	3	14	HP:0002019(Constipation);HP:0002616(Aortic root aneurysm);HP:0007018(Attention deficit hyperactivity disorder)
Malaria	MONDO:0005136	10	16	5	2	0	3	7	HP:0001250(Seizure);HP:0001744(Splenomegaly);HP:0025143(Chills)
Malignant_Atrophic_Papulosis	MONDO:0011208	6	37	4	0	1	1	5	HP:0033404(intestinal ischemia)
Malignant_Hyperthermia_of_Anesthesia	MONDO:0018493	8	23	5	0	2	1	7	HP:0002063(Rigidity)
Malignant_Mesothelioma	MONDO:0006292	5	27	4	1	0	0	5	
Malignant_Non_Dysgerminomatous_Germ_Cell_Tumor_Of_Ovary	MONDO:0016096	5	0	0	0	0	5	0	HP:0002027(Abdominal pain);HP:0003270(Abdominal distention);HP:0006254(Elevated circulating alpha-fetoprotein concentration);HP:0025435(Increased circulating lactate dehydrogenase concentration);HP:0031500(Abdominal mass)
Malignant_Peripheral_Nerve_Sheath_Tumor	MONDO:0017827	3	1	0	0	0	3	0	HP:0001324(Muscle weakness);HP:0012531(Pain);HP:0031459(Soft tissue neoplasm)
Malignant_Peritoneal_Mesothelioma	MONDO:0005512	6	10	4	0	1	1	5	HP:0033842(Early satiety)
Malnutrition-related_Diabetes_Mellitus	MONDO:0005015	1	221	1	0	0	0	1	
Mandibulofacial_Dysostosis_with_Microcephaly	MONDO:0012516	19	45	12	0	2	5	14	HP:0000324(Facial asymmetry);HP:0000407(Sensorineural hearing impairment);HP:0000925(Abnormality of the vertebral column);HP:0002575(Tracheoesophageal fistula);HP:0010669(Hypoplasia of the zygomatic bone)
Manganism	MONDO:0017638	1	30	0	1	0	0	1	
Mantle_Cell_Lymphoma	MONDO:0018876	11	9	4	2	0	5	6	HP:0001873(Thrombocytopenia);HP:0001903(Anemia);HP:0002240(Hepatomegaly);HP:0030166(Night sweats);HP:0100827(Increased total lymphocyte count)
Maple_Syrup_Urine_Disease	MONDO:0009563	17	62	12	2	0	3	14	HP:0000716(Depression);HP:0000739(Anxiety);HP:0012088(Abnormal urinary odor)
Marchiafava_Bignami_Disease	MONDO:0016370	9	50	8	0	1	0	9	
Marden-Walker_Syndrome	MONDO:0009564	15	91	13	1	0	1	14	HP:0001284(Areflexia)
Marfan_Syndrome	MONDO:0007947	24	130	24	0	0	0	24	
Maroteaux-Lamy_syndrome	MONDO:0009661	11	76	8	1	0	2	9	HP:0002176(Spinal cord compression);HP:0002781(Upper airway obstruction)
McKusick-Kaufman_Syndrome	MONDO:0009367	7	41	2	2	2	1	6	HP:0000041(Chordee)
Meacham_syndrome	MONDO:0012164	7	45	3	0	3	1	6	HP:0008723(Gonadal dysgenesis with female appearance, male)
Measles	MONDO:0004619	6	1	1	0	0	5	1	HP:0000509(Conjunctivitis);HP:0001945(Fever);HP:0002090(Pneumonia);HP:0012282(Morbilliform rash);HP:0033026(White oral mucosal macule)
Meckel_Diverticulum	MONDO:0007955	5	1	0	0	0	5	0	HP:0002239(Gastrointestinal hemorrhage);HP:0002576(Intussusception);HP:0004386(Gastrointestinal inflammation);HP:0005214(Intestinal obstruction);HP:0031368(Intestinal perforation)
Meckel_Syndrome	MONDO:0018921	5	194	5	0	0	0	5	
Mediator_Complex_Neurodevelopmental_Disorder	MONDO:0002320	23	2897	23	0	0	0	23	
Medullary_Thyroid_Carcinoma	MONDO:0015277	7	14	4	0	2	1	6	HP:0031284(Flushing)
Medulloblastoma	MONDO:0007959	5	34	2	1	1	1	4	HP:0001085(Papilledema)
Medulloblastoma_SHH_Activated	MONDO:0850197	4	0	0	0	0	4	0	HP:0000256(Macrocephaly);HP:0001251(Ataxia);HP:0002013(Vomiting);HP:0002315(Headache)
Medulloblastoma_WNT_Activated	MONDO:0850196	4	0	0	0	0	4	0	HP:0001085(Papilledema);HP:0001251(Ataxia);HP:0002013(Vomiting);HP:0002315(Headache)
Melanoma_in_Congenital_Melanocytic_Nevus	MONDO:0850110	5	0	0	0	0	5	0	HP:0000238(Hydrocephalus);HP:0000989(Pruritus);HP:0001250(Seizure);HP:0002716(Lymphadenopathy);HP:0200042(Skin ulcer)
Melkersson_Rosenthal_syndrome	MONDO:0007969	4	16	2	0	0	2	2	HP:0002076(Migraine);HP:0007209(Facial paralysis)
Membranous_Nephropathy	MONDO:0005376	6	1	0	0	0	6	0	HP:0000083(Renal insufficiency);HP:0000093(Proteinuria);HP:0000100(Nephrotic syndrome);HP:0000969(Edema);HP:0003073(Hypoalbuminemia);HP:0003077(Hyperlipidemia)
Menieres_Disease	MONDO:0007972	5	3	1	2	1	1	4	HP:0002017(Nausea and vomiting)
Meningeal_Melanocytoma	MONDO:0016746	11	0	0	0	0	11	0	HP:0000011(Neurogenic bladder);HP:0000016(Urinary retention);HP:0001250(Seizure);HP:0001324(Muscle weakness);HP:0002196(Myelopathy);HP:0002273(Tetraparesis);HP:0002315(Headache);HP:0002385(Paraparesis);HP:0003401(Paresthesia);HP:0003418(Back pain);HP:0012531(Pain)
Meningioma	MONDO:0016642	2	76	2	0	0	0	2	
Menkes_Disease	MONDO:0010651	13	70	5	2	1	5	8	HP:0001508(Failure to thrive);HP:0002059(Cerebral atrophy);HP:0003777(Pili torti);HP:0005116(Arterial tortuosity);HP:0012758(Neurodevelopmental delay)
