dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ACOT11,AD_vs_Control_PAC-level,AD,100,100,,,0.26924282,1.2051751409515148,,9.399280012427012e-41,4.983804285658974e-40,1.2579734063143594e-39,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACOT2,AD_vs_Control_PAC-level,AD,100,100,,,-0.33047658,0.7952737295681073,,0.0053313981489146,0.005876996509037205,0.0148103924442496,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACOT9,AD_vs_Control_PAC-level,AD,100,100,,,0.11451649,1.0826121541914924,,0.0168916827225518,0.01713213372216108,0.0431604117514958,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACOX1,AD_vs_Control_PAC-level,AD,100,100,,,-0.4161999,0.7493959572888357,,1.20932623263302e-20,3.9073176340150485e-20,9.862549554279212e-20,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACOX3,AD_vs_Control_PAC-level,AD,100,100,,,0.29620373,1.227909070698423,,1.4131305178577545e-08,2.651073160215864e-08,6.691634226772939e-08,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACP6,AD_vs_Control_PAC-level,AD,100,100,,,0.123006195,1.0890016915502774,,0.0001071608294565,0.0001470961415778567,0.0003707678798732,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSBG1,AD_vs_Control_PAC-level,AD,100,100,,,0.4947716,1.4090976564463082,,9.266470794346892e-158,1.8057737958214457e-156,4.557994822347552e-156,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSF2,AD_vs_Control_PAC-level,AD,100,100,,,0.47835323,1.393152538909976,,8.654213811969312e-19,2.622721421084187e-18,6.6200709554120596e-18,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSL1,AD_vs_Control_PAC-level,AD,100,100,,,0.24924526,1.188585148876323,,0.0060639473705586,0.00663532235076321,0.0167189478365849,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSL3,AD_vs_Control_PAC-level,AD,100,100,,,-0.09616377,0.9355172949546242,,4.922656707957641e-10,9.99435199834677e-10,2.522697182038845e-09,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSL4,AD_vs_Control_PAC-level,AD,100,100,,,-0.2218098,0.8574890776217036,,1.5999275327440406e-05,2.375923648278167e-05,5.9932195384738257e-05,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSM3,AD_vs_Control_PAC-level,AD,100,100,,,-1.0806414,0.47281856877325223,,1.4284501636492669e-19,4.447245844042324e-19,1.1225394663361216e-18,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACSM6,AD_vs_Control_PAC-level,AD,100,100,,,-1.3241608,0.39938144146042914,,1.566575885219971e-28,6.3442149525782135e-28,1.6013577654424392e-27,,none,down_in_ADPAC,higher_in_resilient
